id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;30-11-06 00:00:00;7.820,44427778
SE;Sudeste/Centro-Oeste;30-11-06 00:00:00;29.796,29875000
N;Norte;31-12-06 00:00:00;3.401,54284005
NE;Nordeste;31-12-06 00:00:00;7.279,08992204
S;Sul;31-12-06 00:00:00;7.980,37952957
SE;Sudeste/Centro-Oeste;31-12-06 00:00:00;29.725,43664651
N;Norte;31-01-07 00:00:00;3.420,17568548
NE;Nordeste;31-01-07 00:00:00;7.439,26264785
S;Sul;31-01-07 00:00:00;8.349,92896505
SE;Sudeste/Centro-Oeste;31-01-07 00:00:00;29.960,04143817
N;Norte;28-02-07 00:00:00;3.313,04961310
NE;Nordeste;28-02-07 00:00:00;7.080,92162202
S;Sul;28-02-07 00:00:00;8.529,34017857
SE;Sudeste/Centro-Oeste;28-02-07 00:00:00;30.970,75052083
N;Norte;31-03-07 00:00:00;3.390,01757930
NE;Nordeste;31-03-07 00:00:00;7.157,69465188
S;Sul;31-03-07 00:00:00;8.767,48184140
SE;Sudeste/Centro-Oeste;31-03-07 00:00:00;32.676,08855645
N;Norte;30-04-07 00:00:00;3.481,11723611
NE;Nordeste;30-04-07 00:00:00;7.124,76448611
S;Sul;30-04-07 00:00:00;8.177,31563889
SE;Sudeste/Centro-Oeste;30-04-07 00:00:00;31.350,05961111
N;Norte;31-05-07 00:00:00;3.537,50020161
NE;Nordeste;31-05-07 00:00:00;7.052,03866935
S;Sul;31-05-07 00:00:00;7.919,78838710
SE;Sudeste/Centro-Oeste;31-05-07 00:00:00;29.881,48794355
N;Norte;30-06-07 00:00:00;3.457,95426389
NE;Nordeste;30-06-07 00:00:00;6.953,36587500
S;Sul;30-06-07 00:00:00;7.838,01492361
SE;Sudeste/Centro-Oeste;30-06-07 00:00:00;29.542,48468056
N;Norte;31-07-07 00:00:00;3.434,06185484
NE;Nordeste;31-07-07 00:00:00;7.028,22764785
S;Sul;31-07-07 00:00:00;7.910,57284005
SE;Sudeste/Centro-Oeste;31-07-07 00:00:00;29.573,75717742
N;Norte;31-08-07 00:00:00;3.526,16393817
NE;Nordeste;31-08-07 00:00:00;7.056,67631720
S;Sul;31-08-07 00:00:00;8.035,01993280
SE;Sudeste/Centro-Oeste;31-08-07 00:00:00;30.566,27726344
N;Norte;30-09-07 00:00:00;3.552,60570833
NE;Nordeste;30-09-07 00:00:00;7.248,92220833
S;Sul;30-09-07 00:00:00;7.889,67738750
SE;Sudeste/Centro-Oeste;30-09-07 00:00:00;31.166,00001111
N;Norte;31-10-07 00:00:00;3.562,31274194
NE;Nordeste;31-10-07 00:00:00;7.540,22711022
S;Sul;31-10-07 00:00:00;8.143,15929570
SE;Sudeste/Centro-Oeste;31-10-07 00:00:00;31.967,14805108
N;Norte;30-11-07 00:00:00;3.533,28680556
NE;Nordeste;30-11-07 00:00:00;7.695,36644444
S;Sul;30-11-07 00:00:00;8.097,93776389
SE;Sudeste/Centro-Oeste;30-11-07 00:00:00;31.251,06023611
N;Norte;31-12-07 00:00:00;3.495,22405914
NE;Nordeste;31-12-07 00:00:00;7.494,32387097
S;Sul;31-12-07 00:00:00;8.353,20455645
SE;Sudeste/Centro-Oeste;31-12-07 00:00:00;31.206,31552419
N;Norte;31-01-08 00:00:00;3.467,76498656
NE;Nordeste;31-01-08 00:00:00;7.463,33828763
S;Sul;31-01-08 00:00:00;8.754,51552419
SE;Sudeste/Centro-Oeste;31-01-08 00:00:00;31.190,80647043
N;Norte;29-02-08 00:00:00;3.533,27283190
NE;Nordeste;29-02-08 00:00:00;7.497,81776437
S;Sul;29-02-08 00:00:00;9.004,06011494
SE;Sudeste/Centro-Oeste;29-02-08 00:00:00;31.503,22244971
N;Norte;31-03-08 00:00:00;3.556,94329301
NE;Nordeste;31-03-08 00:00:00;7.385,14950269
S;Sul;31-03-08 00:00:00;8.769,57395161
SE;Sudeste/Centro-Oeste;31-03-08 00:00:00;32.245,93611559
N;Norte;30-04-08 00:00:00;3.605,88281944
NE;Nordeste;30-04-08 00:00:00;7.473,69166667
S;Sul;30-04-08 00:00:00;8.537,26197222
SE;Sudeste/Centro-Oeste;30-04-08 00:00:00;32.252,52808333
N;Norte;31-05-08 00:00:00;3.641,96294355
NE;Nordeste;31-05-08 00:00:00;7.466,56900538
S;Sul;31-05-08 00:00:00;8.008,60774597
SE;Sudeste/Centro-Oeste;31-05-08 00:00:00;30.832,63399194
N;Norte;30-06-08 00:00:00;3.633,81137500
NE;Nordeste;30-06-08 00:00:00;7.227,84879167
S;Sul;30-06-08 00:00:00;8.278,49803333
SE;Sudeste/Centro-Oeste;30-06-08 00:00:00;31.221,21134722
N;Norte;31-07-08 00:00:00;3.624,53110215
NE;Nordeste;31-07-08 00:00:00;7.160,85661290
S;Sul;31-07-08 00:00:00;8.373,80671909
SE;Sudeste/Centro-Oeste;31-07-08 00:00:00;31.335,82005376
N;Norte;31-08-08 00:00:00;3.693,58685484
NE;Nordeste;31-08-08 00:00:00;7.373,48129032
S;Sul;31-08-08 00:00:00;8.239,52883602
SE;Sudeste/Centro-Oeste;31-08-08 00:00:00;32.320,35213710
N;Norte;30-09-08 00:00:00;3.741,49261111
NE;Nordeste;30-09-08 00:00:00;7.661,38690278
S;Sul;30-09-08 00:00:00;8.239,57788889
SE;Sudeste/Centro-Oeste;30-09-08 00:00:00;32.087,30625000
N;Norte;31-10-08 00:00:00;3.744,64068145
NE;Nordeste;31-10-08 00:00:00;7.806,03680780
S;Sul;31-10-08 00:00:00;8.333,54767473
SE;Sudeste/Centro-Oeste;31-10-08 00:00:00;32.914,44456720
N;Norte;30-11-08 00:00:00;3.692,19043056
NE;Nordeste;30-11-08 00:00:00;7.835,02543333
S;Sul;30-11-08 00:00:00;8.352,76387500
SE;Sudeste/Centro-Oeste;30-11-08 00:00:00;30.936,54510833
N;Norte;31-12-08 00:00:00;3.619,02916667
NE;Nordeste;31-12-08 00:00:00;7.353,98135753
S;Sul;31-12-08 00:00:00;8.248,51172043
SE;Sudeste/Centro-Oeste;31-12-08 00:00:00;28.845,63350806
N;Norte;31-01-09 00:00:00;3.569,12939516
NE;Nordeste;31-01-09 00:00:00;7.294,52623656
S;Sul;31-01-09 00:00:00;8.344,88953086
SE;Sudeste/Centro-Oeste;31-01-09 00:00:00;29.582,48946237
N;Norte;28-02-09 00:00:00;3.483,24534226
NE;Nordeste;28-02-09 00:00:00;7.366,75129464
S;Sul;28-02-09 00:00:00;8.933,43686607
SE;Sudeste/Centro-Oeste;28-02-09 00:00:00;31.328,50043155
N;Norte;31-03-09 00:00:00;3.570,14533602
NE;Nordeste;31-03-09 00:00:00;7.612,01887097
S;Sul;31-03-09 00:00:00;9.095,49118683
SE;Sudeste/Centro-Oeste;31-03-09 00:00:00;32.278,24798387
N;Norte;30-04-09 00:00:00;3.552,64280556
NE;Nordeste;30-04-09 00:00:00;7.349,41812500
S;Sul;30-04-09 00:00:00;8.537,68121111
SE;Sudeste/Centro-Oeste;30-04-09 00:00:00;30.176,03961111
N;Norte;31-05-09 00:00:00;3.539,46846774
NE;Nordeste;31-05-09 00:00:00;7.123,15169355
S;Sul;31-05-09 00:00:00;8.199,38976882
SE;Sudeste/Centro-Oeste;31-05-09 00:00:00;29.781,37087366
N;Norte;30-06-09 00:00:00;3.623,45733333
NE;Nordeste;30-06-09 00:00:00;7.095,80025000
S;Sul;30-06-09 00:00:00;8.260,60262778
SE;Sudeste/Centro-Oeste;30-06-09 00:00:00;29.069,17641667
N;Norte;31-07-09 00:00:00;3.568,44927419
NE;Nordeste;31-07-09 00:00:00;7.212,78768817
S;Sul;31-07-09 00:00:00;8.199,56553763
SE;Sudeste/Centro-Oeste;31-07-09 00:00:00;30.106,69580645
N;Norte;31-08-09 00:00:00;3.587,15805108
NE;Nordeste;31-08-09 00:00:00;7.328,16283602
S;Sul;31-08-09 00:00:00;7.984,50284946
SE;Sudeste/Centro-Oeste;31-08-09 00:00:00;30.694,90920699
N;Norte;30-09-09 00:00:00;3.635,32823611
